nom;objet;adresse;code_postal;commune;site_web;date_creation;id_rna;latitude;longitude
AFCP;rassembler les passionnés chinois du Paris Saint-Germain (PSG), en France et à l'international, afin de promouvoir le club et le football;43 boulevard de Sébastopol;75001;PARIS;;2025-06-18;W751279642;48.861469;2.349634
ASSOCIATION ART ET CULTURE ACA;sauvegarder l'artisanat, créer une plateforme de promotion des designers équitable à travers l'utilisation de big data, créer une plateforme mondiale d'échange de technologies, de modes et de cultures, identifier et développer des relais de croissance dans le secteur de la mode, promouvoir des talents dans le domaine de la mode, de la création et de la culture, créer et animer un forum mondial de la culture et de la mode, organiser des concours de créateurs internationaux, promouvoir la coopération internationale dans la formation des talents artistiques, organiser des congrÚs mondiaux relatifs à l'héritage culturel et à la promotion de la paix, à travers des interprétations musicales, lyrique, de la danse ainsi que des piÚces de théâtre originales;14 avenue de l'Opéra;75001;PARIS;;2017-11-17;W751241996;48.865296;2.334835
C.A.V.E.D.N.;"promouvoir l'art vivant soit le théâtre, la danse, les arts du cirque, les arts de la rue, les arts de la marionnette, l'opéra, la musique live, et la performance artistique, en incluant les publics en difficultés (culture minoritaire, population à« en situation de handicap à» ou à« défavorisée à», etc) ; les arts visuels, audiovisuels et numériques peuvent s'associer aux arts vivants dans le cadre de l'étude d'interactions entre ces différents arts, ainsi que dans le cadre de la transmission de leur trace";31 rue du Pont Neuf;75001;PARIS;www.enfantsdelanuit.wordpress.com;2012-12-14;W751217681;48.861239;2.344824
LE FOOTSCEM;"l'association a notamment pour objet ; de contribuer à  la promotion, l'organisation, le développement, l'animation et à  l'enseignement des activités physiques et sportives en général et du sport santé en particulier ; d'organiser des séjours touristiques et sportifs ainsi que des activités culturelles et de loisir ; de délivrer des licences à  ses membres ; de contribuer au développement personnel et au bien-être de l'esprit et du corps à  travers des activités telles que ; la méditation, le yoga, la sophrologie, la nutrition, la beauté, la coiffure, l'éducation, la formation, la culture, les arts, l'audiovisuel, l'informatique, l'aide à  la personne, l'insertion et la réinsertion sociale et professionnelle ; de favoriser la création et le renforcement du lien social ainsi que des solidarités intergénérationnelle et internationale";5 Bis rue du Louvre;75001;PARIS;;1991-03-26;W751099269;48.862005;2.34122
LES COP'S;"projet sportif à vocation humanitaire ; c'est un rallye en 4x4 exclusivement féminin qui a lieu au Maroc et organisé par Desertours ; il permet de soutenir les actions solidaires des associations de La Croix Rouge française, Enfants du désert, Le Cancer du Sein parlons-en, le club des Petits Déjeuners ; l'association Les Cop's permettra donc de soutenir ces associations en apportant du matériel médical, fournitures pour les enfants et fournitures du quotidien";10 rue Duphot;75001;PARIS;;2017-04-24;W751239410;48.868135;2.325731
LES MARINES SPORTIVES DU CENTRE DE PAR;développer par l'emploi rationnel de l'éducation physique, de la gymnastique et des sports, les forces physiques et morales des jeunes et adultes et de créer entre tous ces membres des liens d'amitié et de solidarité;1 rue Française;75001;PARIS;;1936-10-14;W751005124;48.863639;2.347353
SEVEN UNITED PROJECT;pratique du football en championnat affilié à une fédération;4 rue Saint Roch;75001;PARIS;;2020-07-09;W751257317;48.864175;2.331564
SIB;"cette association a pour objet d'encourager et d'accompagner toutes personnes physiques et/ou morales à la pratique et au développement de la boxe ; aider un public intergénérationnel à réaliser, des projets axés sur la boxe ; et sensibiliser le public sur le bienfait de la boxe sur la santé ; organisation de foires, salons et congrÚs, ainsi que toutes manifestations sportives ; vente de produit et de services qui a rapport avec les objets ci-dessus";13 rue du Jour;75001;PARIS;;2022-01-25;W751263634;48.863635;2.344406
URBANMOUV;"promouvoir et développer la pratique de la danse et des expressions artistiques associées ; associer la danse aux autres cultures urbaines : street art, graph, djing, musique, fashion, rap ; éduquer à l'histoire de l'art et du street art ; créer et chorégraphier des spectacles ; organiser des rencontres culturelles urbaines ; permettre un éveil psychomoteur aux enfants ; développer via la danse des projets de handicap ou avec des personnes ag, et tous objets similaires, connexes ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement";26 rue Montmartre;75001;PARIS;;2022-06-17;W751265819;48.864215;2.345559
A.E.F.P.I.D.F;"valorisation et promotion de la fonction éducative au sein du football français, ainsi que des vertus éducatives de la pratique du football ;";5 place de Valois;75001;Paris;;1979-10-12;W751052774;48.863459;2.338412
